"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5639796",-117.874932468,33.8376,2013,"3001","0","4","1","11",1,0,"A","Y",,,,"Y",2400,1,"G","B","D","EAST LINCOLN AV","RT 57",395,"E","N","2015-01-08",3001,"2013-01-03",2357,"A1373",,"5","7","0","0",,"0","0D4","-","N",,0,0,,,0,,,,,2,"A","-",21954,"A","N","A","H","-","C","D","0","Y","N","60",0,0,0,1,0,0,0,0,0,"-","SF","ANAHEIM","ORANGE","CA",0,0
"5639616",-118.002222129,33.8298,2013,"3001","0","6","1","01",3,2,"A","Y",,,,"Y",2400,2,"G","B","B","SOUTH WESTERN AV","W DEL MONTE DR",9,"N","N","2015-01-15",3001,"2013-02-09",2307,"A1047",,"5","7","0","0",,"0","0D1","B","N",,0,0,,,0,,,,"Y",4,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",0,2,0,3,0,0,0,0,0,"-","-","ANAHEIM","ORANGE","CA",0,0
"5639496",-117.865252168,33.7263,2013,"3019","0","4","1","10",1,0,"B","Y",,,,,900,1,"G","B","B","ORANGE AV","STANFORD ST",0,,"Y","2015-01-09",3019,"2013-01-10",638,"2859","SE","5","7","0","0",,"0","003","C","N",,0,0,,,0,,,,"N",3,"A","-",21950,"A","F","B","H","-","B","D","0","Y","A","01",0,0,0,1,0,0,0,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"5639489",-117.941532113,33.7887,2013,"3009","0","2","1","11",1,0,"A","Y",,,,,2100,1,"G","B","D","CHAPMAN AV","EUCLID ST",67,"W","N","2015-01-14",3009,"2013-01-22",1840,"3713","123","5","6","0","0",,"0","2-1","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"A","N","A","H","-","C","A","0","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-","GARDEN GROVE","ORANGE","CA",0,0
"5554856",-117.913676351,33.901,2013,"3008","0","4","2","08",0,1,"A",,,,,,1800,2,"E","I","A","PUENTE ST","BEECHWOOD AV",88,"S","N","2013-09-16",3008,"2013-02-14",1509,"1117",,"5","6","0","0",,"0","Z-3","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","FULLERTON","ORANGE","CA",0,0
"6329794",-118.000142234,33.7181,2013,"3010","0","6","2","09",0,1,"A",,,"Y",,,1800,12,"D","C","A","GOTHARD","CORSICAN",0,,"Y","2014-05-28",3010,"2013-12-28",1602,"1176","261","5","6","0","0",,"0","007","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","HUNTINGTON BEACH","ORANGE","CA",0,0
"6330343",-117.833551774,33.8289,2013,"3015","3","6","2","01",0,1,"A",,,,,"Y",600,12,"C","C","A","RT 55","LINCOLN AV",2320,"S","N","2014-05-16",9675,"2013-12-21",445,"020625",,"3","6","0","1",,"2","550","-","Y",,0,0,,,0,,,,"Y",2,"A","-",23153,"A","N","A","H","-","D","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","ORANGE","ORANGE","CA",-117.8332,33.82884
"6330357",-117.92898211,33.7525,2013,"3019","0","4","2","00",0,1,"A",,,"Y",,,1500,11,"B","C","A","NEWHOPE","HAZARD",20,"N","N","2014-05-21",3019,"2013-11-28",1230,"3239","WE","5","7","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"D","-",0,,"F","A","H","-","A","A","0","Y","-","-",1,0,0,0,0,0,0,0,1,"-","-","SANTA ANA","ORANGE","CA",0,0
"6331726",-117.713877,33.4796,2013,"3029","0","2","2","03",0,3,"A",,,,,,1200,12,"-","C","A","NIGUEL RD","STONEHILL DR",100,"N","N","2014-05-19",3000,"2013-12-10",1025,"6532","971F4","5","4","0","0",,"0","735","-","N",,0,0,,,0,,,,"Y",4,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",1,0,2,0,0,0,0,0,0,"-","-","DANA POINT","ORANGE","CA",0,0
"6331823",-117.919389819,33.6726,2013,"3004","0","6","2","08",0,1,"A",,,"Y",,,1800,12,"B","C","A","HARBOR BL","ADAMS AV",305,"S","N","2014-05-13",3004,"2013-12-21",1634,"549","36","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",22100,"A","N","A","H","-","A","D","0","Y","A","01",1,0,0,0,0,0,0,0,1,"-","-","COSTA MESA","ORANGE","CA",-117.91943,33.67228
